type,total,pergame,percentage
TYPEOFGOAL,0,0.0,0.0
finish,2,0.3333333333333333,0.2
shot,8,1.3333333333333333,0.8
crack,0,0.0,0.0
TYPEOFCHANCE,0,0.0,0.0
sequence,2,0.3333333333333333,0.2
counter,0,0.0,0.0
thru,3,0.5,0.3
thrumid,1,0.16666666666666666,0.1
tramp,2,0.3333333333333333,0.2
deadball,3,0.5,0.3
TYPEOFASSIST,0,0.0,0.0
cutback,0,0.0,0.0
cross,2,0.3333333333333333,0.2
keypass,2,0.3333333333333333,0.2
short,0,0.0,0.0
penalty,1,0.16666666666666666,0.1
freekick,1,0.16666666666666666,0.1
setpiece,1,0.16666666666666666,0.1
corner,0,0.0,0.0
OTHERTHINGSWEKEEPTRACKOF,0,0.0,0.0
shottaken,42,7.0,4.2
cornerearned,10,1.6666666666666667,1.0
penearned,1,0.16666666666666666,0.1
total,10,1.6666666666666667,1.0
games,6,1.0,0.6
